"","date","county","state","cases","deaths","cs","casemax","deathmax","n","firstday","chard","hard","ndate","CasePctIncrease","dcases"
"33",2020-04-16,"Jefferson","Alabama",634,22,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18368,0.946372239747634,6.21509456049093
"34",2020-04-17,"Jefferson","Alabama",645,24,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18369,1.70542635658915,1.88103720821871
"35",2020-04-18,"Jefferson","Alabama",673,25,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18370,4.16047548291233,-3.71374765691847
"36",2020-04-19,"Jefferson","Alabama",682,25,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18371,1.31964809384164,-2.01991497305038
"37",2020-04-20,"Jefferson","Alabama",688,26,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18372,0.872093023255814,8.81389427087584
"38",2020-04-21,"Jefferson","Alabama",700,26,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18373,1.71428571428571,11.7040450412626
"39",2020-04-22,"Jefferson","Alabama",744,31,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18374,5.91397849462366,2.75608536458122
"40",2020-04-23,"Jefferson","Alabama",778,31,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18375,4.37017994858612,-4.84080169909892
"41",2020-04-24,"Jefferson","Alabama",797,33,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18376,2.38393977415307,-8.56643689100213
"42",2020-04-25,"Jefferson","Alabama",828,33,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18377,3.743961352657,-7.36886746751924
"43",2020-04-26,"Jefferson","Alabama",839,33,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18378,1.31108462455304,-2.71631994381681
"44",2020-04-27,"Jefferson","Alabama",839,36,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18379,0,2.05311298870961
"45",2020-04-28,"Jefferson","Alabama",861,41,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18380,2.55516840882695,4.23453576827057
"46",2020-04-29,"Jefferson","Alabama",881,44,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18381,2.27014755959137,4.46114552447207
"47",2020-04-30,"Jefferson","Alabama",886,46,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18382,0.564334085778781,3.11169089529973
"48",2020-05-01,"Jefferson","Alabama",929,48,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18383,4.6286329386437,1.02331656975105
"49",2020-05-02,"Jefferson","Alabama",946,48,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18384,1.79704016913319,-1.34558140116208
"50",2020-05-03,"Jefferson","Alabama",969,48,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18385,2.37358101135191,-0.23079184460817
"51",2020-05-04,"Jefferson","Alabama",992,48,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18386,2.31854838709677,2.2282175658747
"52",2020-05-05,"Jefferson","Alabama",1020,49,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18387,2.74509803921569,0.127767983916951
"53",2020-05-06,"Jefferson","Alabama",1048,53,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18388,2.67175572519084,-1.94662057407195
"54",2020-05-07,"Jefferson","Alabama",1065,57,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18389,1.5962441314554,-2.64575674506717
"55",2020-05-08,"Jefferson","Alabama",1094,59,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18390,2.6508226691042,-5.20596918245344
"56",2020-05-09,"Jefferson","Alabama",1109,60,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18391,1.35256988277728,-4.25791172501062
"57",2020-05-10,"Jefferson","Alabama",1121,60,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18392,1.07047279214987,2.32604954362523
"58",2020-05-11,"Jefferson","Alabama",1131,61,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18393,0.884173297966401,11.3042023785979
"59",2020-05-12,"Jefferson","Alabama",1153,62,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18394,1.90806591500434,9.99386721410115
"60",2020-05-13,"Jefferson","Alabama",1199,64,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18395,3.83653044203503,0.706322632495934
"61",2020-05-14,"Jefferson","Alabama",1237,69,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18396,3.07194826192401,-1.56447321805051
"62",2020-05-15,"Jefferson","Alabama",1258,71,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18397,1.66931637519873,-2.40551116685279
"63",2020-05-16,"Jefferson","Alabama",1299,73,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18398,3.1562740569669,-3.8250134464747
"64",2020-05-17,"Jefferson","Alabama",1333,74,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18399,2.55063765941485,-2.24421146016536
"65",2020-05-18,"Jefferson","Alabama",1355,74,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18400,1.62361623616236,3.5753965594555
"66",2020-05-19,"Jefferson","Alabama",1367,78,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18401,0.877834674469641,8.53143520188775
"67",2020-05-20,"Jefferson","Alabama",1433,83,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18402,4.60572226099093,6.28302728925107
"68",2020-05-21,"Jefferson","Alabama",1469,85,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18403,2.45064669843431,4.6119509661984
"69",2020-05-22,"Jefferson","Alabama",1498,88,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18404,1.93591455273698,2.04106891218152
"70",2020-05-23,"Jefferson","Alabama",1575,88,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18405,4.88888888888889,-10.6885343380006
"71",2020-05-24,"Jefferson","Alabama",1614,88,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18406,2.41635687732342,-15.6294402495802
"72",2020-05-25,"Jefferson","Alabama",1630,91,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18407,0.98159509202454,-6.34872968893118
"73",2020-05-26,"Jefferson","Alabama",1645,96,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18408,0.911854103343465,5.63909794280447
"74",2020-05-27,"Jefferson","Alabama",1673,97,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18409,1.67364016736402,8.31446246960525
"75",2020-05-28,"Jefferson","Alabama",1712,100,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18410,2.27803738317757,4.04993710270768
"76",2020-05-29,"Jefferson","Alabama",1744,102,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18411,1.8348623853211,7.23767522936978
"77",2020-05-30,"Jefferson","Alabama",1780,102,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18412,2.02247191011236,5.17619463741986
"78",2020-05-31,"Jefferson","Alabama",1837,102,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18413,3.10288513881328,-5.94289813268383
"79",2020-06-01,"Jefferson","Alabama",1886,104,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18414,2.59809119830329,-17.2265143283114
"80",2020-06-02,"Jefferson","Alabama",1911,104,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18415,1.30821559392988,-13.9875712002633
"81",2020-06-03,"Jefferson","Alabama",1913,104,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18416,0.104547830632514,2.52036516454489
"82",2020-06-04,"Jefferson","Alabama",1931,105,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18417,0.932159502848265,16.356645929998
"83",2020-06-05,"Jefferson","Alabama",1957,106,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18418,1.32856412876852,16.1283284910294
"84",2020-06-06,"Jefferson","Alabama",2011,106,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18419,2.68523122824465,5.28857643577261
"85",2020-06-07,"Jefferson","Alabama",2070,107,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18420,2.85024154589372,-1.3165040425719
"86",2020-06-08,"Jefferson","Alabama",2109,110,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18421,1.84921763869132,-0.141373037041677
"87",2020-06-09,"Jefferson","Alabama",2162,111,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18422,2.45143385753932,3.50684099458519
"88",2020-06-10,"Jefferson","Alabama",2219,113,"Jefferson   Alabama",2219,113,90,2020-03-13,2020-03-24,2020-04-03,18423,2.56872465074358,0.775469687568379
"89",2020-03-26,"Mobile","Alabama",21,0,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18347,NA,2.48032375673746
"90",2020-03-27,"Mobile","Alabama",23,1,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18348,8.69565217391304,1.70633542956071
"91",2020-03-28,"Mobile","Alabama",34,1,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18349,32.3529411764706,-0.194000637930723
"92",2020-03-29,"Mobile","Alabama",41,1,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18350,17.0731707317073,-1.47551957869603
"93",2020-03-30,"Mobile","Alabama",45,1,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18351,8.88888888888889,-1.43887780053092
"94",2020-03-31,"Mobile","Alabama",53,1,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18352,15.0943396226415,3.86086216633313
"95",2020-04-01,"Mobile","Alabama",57,3,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18353,7.01754385964912,8.16507176228903
"96",2020-04-02,"Mobile","Alabama",69,4,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18354,17.3913043478261,4.4311716878427
"97",2020-04-03,"Mobile","Alabama",103,5,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18355,33.0097087378641,-4.17985132712436
"98",2020-04-04,"Mobile","Alabama",114,5,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18356,9.64912280701754,-1.83714616210099
"99",2020-04-05,"Mobile","Alabama",127,6,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18357,10.2362204724409,10.9987935429433
"100",2020-04-06,"Mobile","Alabama",148,6,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18358,14.1891891891892,18.036623027528
"101",2020-04-07,"Mobile","Alabama",202,8,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18359,26.7326732673267,16.3134944635618
"102",2020-04-08,"Mobile","Alabama",249,8,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18360,18.8755020080321,5.7858374650114
"103",2020-04-09,"Mobile","Alabama",329,10,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18361,24.3161094224924,-6.15685311990589
"104",2020-04-10,"Mobile","Alabama",382,11,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18362,13.8743455497382,-15.0443598850306
"105",2020-04-11,"Mobile","Alabama",429,15,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18363,10.955710955711,-13.7217121835088
"106",2020-04-12,"Mobile","Alabama",454,15,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18364,5.50660792951542,-3.27260587045935
"107",2020-04-13,"Mobile","Alabama",491,18,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18365,7.53564154786151,4.60746870950388
"108",2020-04-14,"Mobile","Alabama",509,17,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18366,3.53634577603143,6.46168771373974
"109",2020-04-15,"Mobile","Alabama",561,19,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18367,9.26916221033868,-0.954295591489718
"110",2020-04-16,"Mobile","Alabama",594,23,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18368,5.55555555555556,-9.81659344790976
"111",2020-04-17,"Mobile","Alabama",627,25,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18369,5.26315789473684,-9.05697136350761
"112",2020-04-18,"Mobile","Alabama",638,25,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18370,1.72413793103448,-1.03393962948135
"113",2020-04-19,"Mobile","Alabama",663,29,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18371,3.77073906485671,6.8006019080312
"114",2020-04-20,"Mobile","Alabama",680,33,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18372,2.5,9.6700304066306
"115",2020-04-21,"Mobile","Alabama",721,38,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18373,5.68654646324549,7.89111257885726
"116",2020-04-22,"Mobile","Alabama",759,39,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18374,5.00658761528327,2.68367793861222
"117",2020-04-23,"Mobile","Alabama",810,38,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18375,6.2962962962963,-2.73105596760389
"118",2020-04-24,"Mobile","Alabama",845,40,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18376,4.14201183431953,-6.3517011071915
"119",2020-04-25,"Mobile","Alabama",888,40,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18377,4.84234234234234,-4.52279368997429
"120",2020-04-26,"Mobile","Alabama",917,41,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18378,3.16248636859324,3.53523046094831
"121",2020-04-27,"Mobile","Alabama",942,43,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18379,2.65392781316348,6.58012167364593
"122",2020-04-28,"Mobile","Alabama",994,46,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18380,5.23138832997988,-3.75447011053615
"123",2020-04-29,"Mobile","Alabama",1041,53,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18381,4.51488952929875,-2.2717484000085
"124",2020-04-30,"Mobile","Alabama",1057,55,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18382,1.51371807000946,8.47226558411754
"125",2020-05-01,"Mobile","Alabama",1099,61,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18383,3.82165605095541,4.82062327381203
"126",2020-05-02,"Mobile","Alabama",1172,61,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18384,6.22866894197952,-9.13080618625438
"127",2020-05-03,"Mobile","Alabama",1198,62,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18385,2.17028380634391,-8.78264258498072
"128",2020-05-04,"Mobile","Alabama",1222,66,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18386,1.96399345335516,5.37145603191381
"129",2020-05-05,"Mobile","Alabama",1265,71,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18387,3.39920948616601,8.23845140760906
"130",2020-05-06,"Mobile","Alabama",1311,76,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18388,3.50877192982456,5.84425631964929
"131",2020-05-07,"Mobile","Alabama",1355,78,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18389,3.24723247232472,-1.88225243313651
"132",2020-05-08,"Mobile","Alabama",1407,81,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18390,3.69580668088131,-12.3262660914353
"133",2020-05-09,"Mobile","Alabama",1452,83,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18391,3.09917355371901,-16.7759399172193
"134",2020-05-10,"Mobile","Alabama",1461,85,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18392,0.616016427104723,-4.69224639327153
"135",2020-05-11,"Mobile","Alabama",1474,90,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18393,0.881953867028494,13.3603780226454
"136",2020-05-12,"Mobile","Alabama",1507,95,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18394,2.18978102189781,17.2072673395475
"137",2020-05-13,"Mobile","Alabama",1545,96,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18395,2.45954692556634,7.77721954143106
"138",2020-05-14,"Mobile","Alabama",1608,98,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18396,3.91791044776119,-6.94979689240708
"139",2020-05-15,"Mobile","Alabama",1653,100,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18397,2.72232304900181,-14.347152005321
"140",2020-05-16,"Mobile","Alabama",1681,100,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18398,1.6656751933373,-9.76818431996209
"141",2020-05-17,"Mobile","Alabama",1701,101,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18399,1.17577895355673,2.79760136118689
"142",2020-05-18,"Mobile","Alabama",1735,101,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18400,1.95965417867435,12.0055257773393
"143",2020-05-19,"Mobile","Alabama",1751,103,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18401,0.913763563677898,12.7697810169855
"144",2020-05-20,"Mobile","Alabama",1822,106,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18402,3.89681668496158,7.35973362691952
"145",2020-05-21,"Mobile","Alabama",1874,107,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18403,2.77481323372465,-2.23210322098482
"146",2020-05-22,"Mobile","Alabama",1916,107,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18404,2.19206680584551,-9.91852599875294
"147",2020-05-23,"Mobile","Alabama",1982,109,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18405,3.32996972754793,-11.604844350284
"148",2020-05-24,"Mobile","Alabama",1996,109,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18406,0.701402805611222,-6.76322407245164
"149",2020-05-25,"Mobile","Alabama",2033,111,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18407,1.81997048696508,0.180994516363519
"150",2020-05-26,"Mobile","Alabama",2054,112,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18408,1.02239532619279,4.08176696398995
"151",2020-05-27,"Mobile","Alabama",2085,112,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18409,1.48681055155875,4.74622333976294
"152",2020-05-28,"Mobile","Alabama",2124,112,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18410,1.8361581920904,1.52879208802207
"153",2020-05-29,"Mobile","Alabama",2162,114,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18411,1.75763182238668,2.24003256175312
"154",2020-05-30,"Mobile","Alabama",2191,115,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18412,1.32359653126426,2.79542876758492
"155",2020-05-31,"Mobile","Alabama",2239,116,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18413,2.14381420276909,-9.34566619649995
"156",2020-06-01,"Mobile","Alabama",2280,118,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18414,1.79824561403509,-14.6827035019027
"157",2020-06-02,"Mobile","Alabama",2292,118,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18415,0.523560209424084,-5.29158022278087
"158",2020-06-03,"Mobile","Alabama",2293,118,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18416,0.0436109899694723,7.25125773810921
"159",2020-06-04,"Mobile","Alabama",2330,118,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18417,1.58798283261803,13.494080698221
"160",2020-06-05,"Mobile","Alabama",2352,124,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18418,0.935374149659864,8.57511256063125
"161",2020-06-06,"Mobile","Alabama",2394,125,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18419,1.75438596491228,0.8154341839933
"162",2020-06-07,"Mobile","Alabama",2450,125,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18420,2.28571428571429,-6.05382715866255
"163",2020-06-08,"Mobile","Alabama",2478,124,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18421,1.12994350282486,-1.16398679117439
"164",2020-06-09,"Mobile","Alabama",2504,126,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18422,1.03833865814696,9.85063116970437
"165",2020-06-10,"Mobile","Alabama",2563,127,"Mobile   Alabama",2563,127,84,2020-03-19,NA,2020-04-03,18423,2.30198985563792,10.4870179310587
"166",2020-03-25,"Montgomery","Alabama",13,0,"Montgomery   Alabama",2326,62,90,2020-03-13,NA,2020-04-03,18346,NA,-0.982257701190583
"167",2020-03-26,"Montgomery","Alabama",17,0,"Montgomery   Alabama",2326,62,90,2020-03-13,NA,2020-04-03,18347,23.5294117647059,-1.09086402432242
